destination_name,country,continent,category,cost,best_season,rating
Serene Temple,Morocco,Africa,Beach,174.84,Summer,4.5
Sacred Valley,Germany,Europe,Religious,94.41,Summer,4.6
Serene Temple,South Africa,Africa,Adventure,228.96,Summer,4.7
Sacred Plaza,Australia,Oceania,Nature,120.96,Summer,4.3
Golden Ruins,Mexico,North America,Adventure,162.1,Spring,3.9
Hidden Valley,Thailand,Asia,Historical,190.82,Spring,4
Hidden Park,Spain,Europe,Adventure,104.6,Summer,4.1
Grand Valley,Brazil,South America,Beach,118.53,Autumn,4.7
Ancient Beach,New Zealand,Oceania,Historical,122.78,Spring,4.5
Serene Valley,Kenya,Africa,City,119.99,Spring,4.8
Hidden Ruins,China,Asia,Historical,119.91,Autumn,5
Ancient Park,Japan,Asia,Historical,123.32,Winter,4.5
Grand Canyon,Morocco,Africa,City,191.13,Winter,4.1
Golden Temple,Morocco,Africa,Religious,288.92,Winter,4.9
Serene Park,Italy,Europe,Historical,186.92,Autumn,4.6
Lush Ruins,Peru,South America,City,99.55,Autumn,4
Sacred Canyon,Brazil,South America,City,126.97,Winter,4.8
Mystic Forest,South Africa,Africa,Adventure,93.47,Autumn,4.5
Mystic Ruins,Vietnam,Asia,Beach,116.15,Summer,4.7
Lush Forest,Kenya,Africa,Adventure,179.11,Summer,4.8
Ancient Forest,Brazil,South America,Nature,108.04,Summer,4.4
Grand Ruins,Brazil,South America,Religious,74.59,Spring,4.8
Mystic Forest,India,Asia,Beach,94.68,Spring,4.1
Sacred Park,Greece,Europe,Religious,191.74,Spring,4.6
Sacred Forest,Canada,North America,City,168.08,Spring,4.3
Ancient Falls,France,Europe,Nature,224.77,Spring,4.6
Ancient Valley,Argentina,South America,City,30,Summer,4.7
Lush Forest,Vietnam,Asia,Beach,79.06,Winter,4.8
Sacred Temple,USA,North America,Historical,139.02,Autumn,4.6
Sacred Pagoda,Argentina,South America,Adventure,110.54,Spring,4.7
Golden Park,Greece,Europe,City,109.58,Winter,4.3
Golden Temple,New Zealand,Oceania,City,175.07,Winter,4.8
Serene Canyon,Spain,Europe,Beach,123.51,Spring,4.7
Lush Temple,Kenya,Africa,Adventure,218.59,Winter,4.6
